Type, RunNo, EvNo, E1, px1, py1, pz1, pt1, eta1, phi1, Q1, E2, px2, py2, pz2, pt2, eta2, phi2, Q2, M
GT,  140124,  906955564,  11.9103, 1.75141, -2.1813, -11.5767, 2.79741070958, -2.12773539465, -0.894277262782,  -1,  2.84422, 0.848941, 0.38585, -2.68492, 0.932513294265, -1.77954752735, 0.426595986864,  1,  2.078
GT,  140124,  906959496,  10.8897, 2.4542, 1.58117, -10.4906, 2.91945135409, -1.99105343906, 0.572337287483,  1,  3.33592, 0.850029, -1.26801, -2.96425, 1.5265643324, -1.41729073051, -0.980237992058,  -1,  3.21265
GT,  140124,  906959948,  11.5595, 2.97556, -1.23815, -11.1006, 3.22288267489, -1.95030704478, -0.394313763943,  1,  5.45583, -0.0875332, -1.3931, -5.2732, 1.39584729505, -2.0393571147, -1.63354722579,  -1,  2.48101
GT,  140124,  907047297,  11.4883, 0.63929, -2.27356, 11.2424, 2.36172961571, 2.26429976865, -1.2966895068,  1,  2.71595, -1.11238, -0.344914, 2.4513, 1.1646265203, 1.48954242343, -2.84092448884,  -1,  2.67627
GT,  140124,  907078309,  10.8279, 3.66062, -1.93016, 10.0053, 4.13831564891, 1.61623300177, -0.4852301794,  -1,  4.56416, 1.62362, 0.843164, 4.18011, 1.82949923074, 1.56421638294, 0.478976923183,  1,  2.56594
GT,  140124,  907082593,  38.5045, 4.25252, 11.5861, 36.4728, 12.3418653193, 1.80418654656, 1.21902568899,  -1,  4.00698, -0.600964, 1.28048, 3.74752, 1.41449169658, 1.70132287242, 2.00960594293,  1,  3.26654
GG,  140124,  907101861,  12.839, 0.922939, 3.43053, -12.3373, 3.55251354376, -1.95823128968, 1.30798241281,  -1,  8.96119, -1.91409, 2.39053, -8.42101, 3.06241313493, -1.7362077136, 2.24596207371,  1,  3.07811
GT,  140124,  907105492,  15.6317, 0.541204, -2.79807, 15.3694, 2.84992938413, 2.38671867846, -1.37973517336,  -1,  3.40276, 0.70272, 0.73244, 3.24613, 1.01502894146, 1.87928669497, 0.80610369637,  -1,  3.15606
GT,  140124,  907143000,  6.33217, -2.32606, 0.521628, -5.86536, 2.38383113789, -1.63245153939, 2.92098848423,  1,  5.32886, 0.064818, 1.50569, -5.11022, 1.5070845196, -1.93527969895, 1.52777418783,  -1,  2.50858
GT,  140124,  907164538,  7.80742, -0.339372, -1.47998, 7.65762, 1.51839196349, 2.32088396534, -1.7962078621,  1,  4.24431, -0.800071, 0.574812, 4.12704, 0.985150973397, 2.13961809164, 2.5185903463,  1,  2.06113
